trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",25,0,-69.7557258718839,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",25,0,-15.097822083245694,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-139.3254676946851,"{0: 9, 1: 4, 2: 3, 3: 3, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-93.52679606292013,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.951229424500714}",30,0,-207.32669428206066,"{0: 17, 1: 3, 2: 5, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-96.37873580215664,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",30,7,-66.52643472502122,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",30,0,-191.23131312571283,"{0: 16, 1: 2, 2: 8, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",30,0,-252.79339891460555,"{0: 16, 1: 2, 2: 6, 3: 2, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",30,0,-194.3747920616904,"{0: 13, 1: 7, 2: 5, 3: 4, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",20,0,-142.091373637282,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,0,-101.05102683979166,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",30,0,-180.4525062737561,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-112.45542590819016,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,5,-25.314465908036105,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",25,0,-163.52120333474016,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",20,0,-84.66451137454159,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-36.283060209516925,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",20,0,-11.215967335400016,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",30,0,-98.60227232730165,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8105842459701871}",30,0,-119.07782170997243,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8025187979624785}",25,14,-0.8604568722539769,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.794533602503334}",25,0,-155.15833664864863,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.7866278610665535}",30,12,-24.488148484130203,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.7788007830714049}",20,0,-74.53194193817004,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.7710515858035663}",25,0,-248.52879352654193,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 5}",0
27,False,"{'a': 0.5, 'e': 0.7633794943368531}",30,0,-193.00990558136573,"{0: 18, 1: 3, 2: 4, 3: 2, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.7557837414557255}",20,0,-37.69228711447497,"{0: 16, 1: 2, 2: 0, 3: 2, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.7482635675785653}",25,9,-27.13592144415864,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.7408182206817179}",20,0,-60.201482784892804,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.7334469562242892}",20,0,-72.42642782948855,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.7261490370736909}",30,0,-145.8961745451878,"{0: 18, 1: 3, 2: 4, 3: 4, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.7189237334319262}",25,3,-101.19204456304226,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 2}",1
34,False,"{'a': 0.5, 'e': 0.7117703227626097}",20,0,-95.15065557809618,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.7046880897187134}",20,4,-38.76613690302158,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
36,False,"{'a': 0.5, 'e': 0.697676326071031}",30,0,-101.93746196254384,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.6907343306373547}",30,0,4.950087700361559,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.6838614092123558}",25,0,-175.43828212434374,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.6770568744981647}",35,0,-115.32107845931293,"{0: 25, 1: 2, 2: 6, 3: 0, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.6703200460356393}",25,0,-81.53507073050548,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.6636502501363194}",30,0,-230.99257390473596,"{0: 17, 1: 4, 2: 3, 3: 2, 4: 4}",0
42,False,"{'a': 0.5, 'e': 0.6570468198150567}",20,6,-36.90952552341287,"{0: 8, 1: 4, 2: 1, 3: 1, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.6505090947233165}",25,6,-44.86440080416238,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 0}",1
